locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
42641,Carapungo,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,pm25,11.27,µg/m³,-0.09548,-78.44988
42641,Carapungo,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,no2,64.40072245176,ppm,-0.09548,-78.44988
42644,El Camal,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,pm25,9.436,µg/m³,-0.25192,-78.51713
42643,Cotocollao,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,co,0.669755051,ppm,-0.11072,-78.49953
42645,Guamani,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,no2,8.22120878764,ppm,-0.33428,-78.5534
42647,San Antonio,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,pm25,0,µg/m³,0.00205,-78.45199
42643,Cotocollao,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,pm25,29.289,µg/m³,-0.11072,-78.49953
42646,Los Chillos,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,no2,41.34673806556,ppm,-0.29693,-78.45555
42642,Centro,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,co,0.658695317,ppm,-0.2215,-78.51413
42644,El Camal,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,no2,43.53931113198,ppm,-0.25192,-78.51713
42648,Tumbaco,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,so2,4.675383412364,ppm,-0.21484,-78.40326
42643,Cotocollao,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,no2,5.48331308892,ppm,-0.11072,-78.49953
42647,San Antonio,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,pm10,0,µg/m³,0.00205,-78.45199
42642,Centro,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,so2,5.279586162628,ppm,-0.2215,-78.51413
42641,Carapungo,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,so2,5.098068720276,ppm,-0.09548,-78.44988
42645,Guamani,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,pm25,14.273,µg/m³,-0.33428,-78.5534
42645,Guamani,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,so2,1.336845064108,ppm,-0.33428,-78.5534
42641,Carapungo,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,pm10,36.43428,µg/m³,-0.09548,-78.44988
42643,Cotocollao,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,so2,5.910498057612,ppm,-0.11072,-78.49953
42642,Centro,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,no2,26.05890013246,ppm,-0.2215,-78.51413
42648,Tumbaco,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,co,0.649478872,ppm,-0.21484,-78.40326
42648,Tumbaco,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,no2,28.16685416973,ppm,-0.21484,-78.40326
42642,Centro,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,pm25,12.282,µg/m³,-0.2215,-78.51413
42644,El Camal,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,so2,6.301315689912,ppm,-0.25192,-78.51713
42644,El Camal,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,co,0.846355876,ppm,-0.25192,-78.51713
42648,Tumbaco,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,pm25,9.507,µg/m³,-0.21484,-78.40326
42645,Guamani,Quito,EC,2021-01-31T05:00:00+00:00,2021-01-31T04:00:00-01:00,co,0.488815055,ppm,-0.33428,-78.5534
